OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
2525,1435580,5401,1,TRAFFIC,20002(B) HIT/RUN-RUNAWAY VEH,5,5A,1394,2020-01-28T00:00:08.000Z
2526,1435581,5401,1,TRAFFIC,20002(B) HIT/RUN-RUNAWAY VEH,3,3A,0785,2020-01-25T00:16:49.000Z
2527,1435582,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3B,0767,2020-01-25T00:01:07.000Z
2528,1435584,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1C,0309,2020-01-23T00:18:17.000Z
2529,1435587,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5B,1603,2020-01-15T00:16:41.000Z
2530,1435590,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6B,1003,2020-01-23T00:18:02.000Z
2531,1435595,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4C,1265,2020-01-25T00:22:07.000Z
2532,1435599,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3M,0734,2020-01-27T00:13:44.000Z
2533,1435604,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4A,0905,2020-01-28T00:08:54.000Z
2534,1435618,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6E,1102,2020-01-28T00:16:58.000Z
2535,1435623,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2A,0506,2020-01-28T00:15:00.000Z
2536,1435626,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,1,1A,0123,2020-01-28T00:19:35.000Z
2537,1435638,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5B,1603,2020-01-05T00:20:23.000Z
2538,1435655,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1287,2020-01-28T00:20:00.000Z
2539,1435669,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1276,2020-01-25T00:22:00.000Z
2540,1435673,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1265,2020-01-18T00:11:37.000Z
2541,1435678,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,5,5C,1624,2020-01-25T00:14:00.000Z
2542,1435683,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,3,3M,0744,2020-01-22T00:22:00.000Z
2543,1435694,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6C,1443,2020-01-21T00:18:00.000Z
2544,1435697,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1C,0416,2020-01-27T00:17:20.000Z
2545,1435700,2999,34,VANDALISM,594(A)(1) VANDALISM-GRAFFITI,3,3M,0744,2020-01-24T00:22:00.000Z
2546,1435701,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0568,2020-01-18T00:00:00.000Z
2547,1435703,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6E,0888,2020-01-27T00:22:00.000Z
2548,1435704,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,3,3B,0718,2020-01-20T00:11:20.000Z
2549,1435707,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0104,2020-01-25T00:18:20.000Z
2550,1435708,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,3,3B,0748,2020-01-28T00:01:00.000Z
2551,1435711,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1251,2020-01-27T00:19:45.000Z
2552,1435714,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1A,0123,2020-01-24T00:20:22.000Z
2553,1435730,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6C,1114,2020-01-23T00:01:15.000Z
2554,1435732,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0337,2020-01-27T00:12:45.000Z
2555,1435750,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,1,1A,0327,2020-01-11T00:16:10.000Z
2556,1435751,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0525,2020-01-11T00:18:26.000Z
2557,1435753,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3A,0707,2020-01-11T00:10:15.000Z
2558,1435754,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3A,0702,2020-01-11T00:20:21.000Z
2559,1435755,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,4,4A,0908,2020-01-11T00:20:41.000Z
2560,1435756,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3A,0721,2020-01-11T00:18:20.000Z
2561,1435785,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3A,0715,2020-01-25T00:18:00.000Z
2562,1435789,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1A,0145,2020-01-24T00:08:54.000Z
2563,1435795,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3B,0768,2020-01-22T00:22:24.000Z
2564,1435797,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5C,1639,2020-01-27T00:14:00.000Z
2565,1435820,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6D,0855,2020-01-02T00:21:41.000Z
2566,1435835,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,0927,2020-01-24T00:20:00.000Z
2567,1435837,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6B,1064,2020-01-27T00:07:56.000Z
2568,1435839,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3M,0732,2020-01-26T00:16:00.000Z
2569,1435840,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1B,0468,2020-01-11T00:21:10.000Z
2570,1435841,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6D,0847,2020-01-28T00:23:00.000Z
2571,1435843,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3A,0715,2020-01-07T00:22:00.000Z
2572,1435845,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6C,1411,2020-01-25T00:15:30.000Z
2573,1435869,3802,2,AGG ASSAULT,368(B)(1)ENDANGER HEALTH/ELDER,1,1B,0403,2020-01-28T00:22:40.000Z
2574,1435878,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,6,6A,1052,2020-01-25T00:17:00.000Z
2575,1435890,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5B,1359,2020-01-24T00:12:28.000Z
2576,1435896,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,1,1C,0447,2020-01-12T00:10:20.000Z
2577,1435898,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,4,4A,0905,2020-01-12T00:10:30.000Z
2578,1435900,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,1,1C,0406,2020-01-12T00:22:15.000Z
2579,1435903,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6B,1084,2020-01-12T00:10:42.000Z
2580,1435904,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,1,1C,0438,2020-01-12T00:19:58.000Z
2581,1435906,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,4,4B,1354,2020-01-13T00:10:55.000Z
2582,1435907,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3B,0736,2020-01-13T00:14:01.000Z
2583,1435913,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2C,0603,2020-01-13T00:08:30.000Z
2584,1435916,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3A,0707,2020-01-13T00:11:00.000Z
2585,1435917,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0235,2020-01-13T00:11:30.000Z
2586,1435919,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3M,0734,2020-01-13T00:17:12.000Z
2587,1435927,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6A,1042,2020-01-13T00:11:38.000Z
2588,1435928,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,4,4A,0906,2020-01-13T00:09:50.000Z
2589,1435929,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0546,2020-01-13T00:13:07.000Z
2590,1435972,1299,2,ROBBERY,211 PC ROBBERY-BUSINESS,3,3B,0738,2020-01-13T00:10:38.000Z
2591,1435992,1203,0,ROBBERY,211 PC ROBBERY-SHOPLIFT,1,1A,0136,2020-01-27T00:21:49.000Z
2592,1435997,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1B,0440,2020-01-28T00:07:00.000Z
2593,1436003,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1287,2020-01-24T00:11:45.000Z
2594,1436009,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2B,0544,2020-01-24T00:22:46.000Z
2595,1436039,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2C,0626,2020-01-26T00:09:06.000Z
2596,1436048,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1B,0444,2020-01-24T00:06:50.000Z
2597,1436070,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,5,5A,1501,2020-01-15T00:08:00.000Z
2598,1436076,2099,5,ARSON,455 PC ARSON-ATTEMPT,2,2A,0223,2020-01-09T00:11:24.000Z
2599,1436077,2602,0,FRAUD,FRAUD-SWINDLE,4,4C,1301,2020-01-25T00:08:00.000Z
2600,1436079,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,5,5B,1603,2020-01-01T00:13:45.000Z
2601,1436086,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,3,3B,0737,2020-01-23T00:20:48.000Z
2602,1436105,2605,4,FRAUD,484E(D)PC FRAUD POSS CARD INFO,6,6C,1405,2020-01-24T00:18:00.000Z
2603,1436115,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1C,0429,2020-01-23T00:01:01.000Z
2604,1436128,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5B,1621,2020-01-27T00:08:39.000Z
2605,1436138,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3M,0734,2020-01-27T00:01:42.000Z
2606,1436148,2399,2,LARCENY,484 PC PETTY THEFT,1,1B,0440,2020-01-21T00:08:00.000Z
2607,1436151,2399,2,LARCENY,484 PC PETTY THEFT,6,6C,1443,2020-01-07T00:08:00.000Z
2608,1436166,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6C,1111,2020-01-21T00:11:11.000Z
2609,1436183,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0604,2020-01-27T00:03:37.000Z
2610,1436237,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1616,2020-01-15T00:09:00.000Z
2611,1436270,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,0619,2020-01-01T00:19:30.000Z
2612,1436272,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2C,0612,2020-01-28T00:12:00.000Z
2613,1436278,2399,2,LARCENY,484 PC PETTY THEFT,6,6D,0847,2020-01-28T00:22:00.000Z
2614,1436282,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6C,1403,2020-01-28T00:02:10.000Z
2615,1436289,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6C,1411,2020-01-25T00:15:30.000Z
2616,1436290,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4A,0937,2020-01-27T00:17:09.000Z
2617,1436292,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,5,5B,1369,2020-01-10T00:01:30.000Z
2618,1436300,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0776,2020-01-27T00:00:00.000Z
2619,1436304,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5B,1369,2020-01-28T00:19:25.000Z
2620,1436327,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,3,3M,0734,2020-01-20T00:11:35.000Z
2621,1436339,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,4,4A,1204,2020-01-21T00:20:23.000Z
2622,1436344,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0340,2020-01-10T00:22:00.000Z
2623,1436357,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5C,1605,2020-01-21T00:10:10.000Z
2624,1436368,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6E,1115,2020-01-14T00:01:15.000Z
2625,1436375,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3B,0768,2020-01-14T00:13:27.000Z
2626,1436379,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,3,3B,0746,2020-01-22T00:08:00.000Z
2627,1436380,5499,15,TRAFFIC,23103(A) RECKLESS ON HIGHWAY,1,1C,0436,2020-01-28T00:15:45.000Z
2628,1436397,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,1,1B,0440,2020-01-10T00:17:00.000Z
2629,1436402,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,6,6E,1116,2020-01-14T00:22:54.000Z
2630,1436406,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0527,2020-01-14T00:12:31.000Z
2631,1436416,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1C,0419,2020-01-18T00:23:19.000Z
2632,1436420,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,0517,2020-01-14T00:10:47.000Z
2633,1436421,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2C,0602,2020-01-14T00:08:12.000Z
2634,1436423,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0223,2020-01-14T00:08:49.000Z
2635,1436424,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0221,2020-01-14T00:12:06.000Z
2636,1436431,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0527,2020-01-14T00:12:31.000Z
2637,1436438,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,1401,2020-01-04T00:11:00.000Z
2638,1436440,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,1,1C,0419,2020-01-26T00:16:44.000Z
2639,1436453,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4A,0937,2020-01-20T00:12:42.000Z
2640,1436509,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,0509,2020-01-15T00:14:50.000Z
2641,1436513,2399,2,LARCENY,484 PC PETTY THEFT,1,1B,0440,2020-01-27T00:18:35.000Z
2642,1436515,2399,2,LARCENY,484 PC PETTY THEFT,5,5C,1653,2020-01-24T00:18:25.000Z
2643,1436520,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,5,5B,1369,2020-01-15T00:00:00.000Z
2644,1436524,2999,04,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,3,3B,0747,2020-01-27T00:01:19.000Z
2645,1436533,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,3,3A,0707,2020-01-15T00:14:40.000Z
2646,1436549,2399,2,LARCENY,484 PC PETTY THEFT,5,5B,1399,2020-01-03T00:09:00.000Z
2647,1436576,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,6,6B,1064,2020-01-15T00:01:45.000Z
2648,1436581,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,4,4C,1279,2020-01-15T00:07:19.000Z
2649,1436585,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3A,0707,2020-01-15T00:09:22.000Z
2650,1436587,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,4,4C,1287,2020-01-15T00:10:40.000Z
2651,1436588,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,6,6B,1018,2020-01-15T00:17:46.000Z
2652,1436596,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0233,2020-01-14T00:14:57.000Z
2653,1436613,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4A,0916,2020-01-22T00:23:39.000Z
2654,1436623,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,3,3M,0751,2020-01-01T00:21:54.000Z
2655,1436648,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2A,0506,2020-01-18T00:09:30.000Z
2656,1436667,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3M,0752,2020-01-16T00:09:56.000Z
2657,1436669,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,3,3B,0746,2020-01-16T00:18:00.000Z
2658,1436673,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,4,4B,0969,2020-01-16T00:15:09.000Z
2659,1436696,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0552,2020-01-14T00:15:15.000Z
2660,1436699,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,5,5B,1369,2020-01-08T00:07:00.000Z
2661,1436711,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,1,1C,0419,2020-01-16T00:01:12.000Z
2662,1436722,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0563,2020-01-15T00:08:25.000Z
2663,1436723,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0531,2020-01-15T00:09:10.000Z
2664,1436726,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0226,2020-01-16T00:11:30.000Z
2665,1436728,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0226,2020-01-16T00:11:59.000Z
2666,1436731,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0515,2020-01-18T00:13:20.000Z
2667,1436734,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6C,1404,2020-01-14T00:10:00.000Z
2668,1436738,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,1,1B,0435,2020-01-17T00:09:18.000Z
2669,1436742,4902,0,FUGITIVE,1551(A) FUGITIVE FROM JUSTICE,2,2C,0558,2020-01-13T00:14:16.000Z
2670,1436749,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5B,1359,2020-01-22T00:13:56.000Z
2671,1436750,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0517,2020-01-17T00:11:30.000Z
2672,1436753,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6E,0899,2020-01-27T00:07:49.000Z
2673,1436754,2399,2,LARCENY,484 PC PETTY THEFT,1,1C,0429,2020-01-03T00:08:00.000Z
2674,1436756,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6D,0846,2020-01-28T00:16:04.000Z
2675,1436761,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5B,1621,2020-01-28T00:23:03.000Z
2676,1436810,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4B,0977,2020-01-27T00:10:55.000Z
2677,1436814,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5B,1621,2020-01-19T00:17:33.000Z
2678,1436817,5401,1,TRAFFIC,20002(B) HIT/RUN-RUNAWAY VEH,3,3A,0782,2020-01-26T00:21:14.000Z
2679,1436820,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4B,0969,2020-01-22T00:12:07.000Z
2680,1436841,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,0510,2020-01-26T00:18:15.000Z
2681,1436877,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0145,2020-01-22T00:19:25.000Z
2682,1436887,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6E,0877,2020-01-17T00:14:17.000Z
2683,1436925,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6E,1115,2020-01-21T00:21:00.000Z
2684,1436949,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0236,2020-01-16T00:23:42.000Z
2685,1436960,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2C,0567,2020-01-17T00:19:31.000Z
2686,1436980,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,4,4A,1201,2020-01-10T00:00:00.000Z
2687,1436985,2999,38,VANDALISM,594(B)(1) VANDAL $400 OR MORE,2,2A,0221,2020-01-24T00:00:00.000Z
2688,1437007,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,1,1A,0102,2020-01-10T00:16:00.000Z
2689,1437018,5401,1,TRAFFIC,20002(B) HIT/RUN-RUNAWAY VEH,5,5C,1606,2020-01-09T00:02:02.000Z
2690,1437020,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6E,0899,2020-01-09T00:19:26.000Z
2691,1437058,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,4,4B,0989,2020-01-18T00:20:19.000Z
2692,1437059,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,5,5B,1621,2020-01-18T00:13:01.000Z
2693,1437061,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0235,2020-01-18T00:23:06.000Z
2694,1437070,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3B,0736,2020-01-18T00:08:30.000Z
2695,1437071,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6D,0834,2020-01-18T00:12:47.000Z
2696,1437073,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,UI,UI,UI,2020-01-18T00:00:20.000Z
2697,1437074,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2C,0567,2020-01-17T00:21:00.000Z
2698,1437075,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,5,5C,1637,2020-01-17T00:12:47.000Z
2699,1437190,2399,32,LARCENY,487(D)(2) GRAND THFT GUN <$950,6,6A,1041,2020-01-18T00:03:00.000Z
2700,1437227,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4C,1285,2020-01-10T00:15:45.000Z
2701,1437228,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6B,1088,2020-01-17T00:07:40.000Z
2702,1437229,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4C,1279,2020-01-20T00:15:22.000Z
2703,1437231,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6A,1081,2020-01-21T00:12:35.000Z
2704,1437232,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2C,0628,2020-01-21T00:15:04.000Z
2705,1437233,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2C,0604,2020-01-27T00:13:41.000Z
2706,1437253,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,5,5A,1511,2020-01-22T00:03:40.000Z
2707,1437273,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5B,1603,2020-01-23T00:08:00.000Z
2708,1437409,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6C,1124,2020-01-28T00:07:30.000Z
2709,1437412,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0104,2020-01-26T00:04:20.000Z
2710,1437420,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6C,1422,2020-01-15T00:22:45.000Z
2711,1437423,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6C,1447,2020-01-19T00:15:15.000Z
2712,1437427,1313,19,BATTERY,242 PC BATTERY CIVILIAN,1,1C,0405,2020-01-10T00:19:00.000Z
2713,1437451,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5C,1654,2020-01-06T00:12:00.000Z
2714,1437464,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0602,2020-01-15T00:13:43.000Z
2715,1437475,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,1,1A,0103,2020-01-08T00:23:18.000Z
1,1429759,5213,4,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,6,6B,1401,2020-01-01T00:00:17.000Z
2,1429760,2999,33,VANDALISM,594(A)(2) VANDALISM-DAMAGE,2,2B,0564,2020-01-01T00:01:53.000Z
3,1429779,4801,5,OBSTRUCTING,69 PC RESIST/OBSTRCT EXEC OFC,3,3M,0741,2020-01-01T00:01:48.000Z
4,1429804,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1441,2020-01-01T00:03:00.000Z
5,1429831,5404,10,TRAFFIC,23153(A) DUI ALCOHOL W/INJ,3,3B,0777,2020-01-01T00:02:43.000Z
6,1429865,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,5,5A,1364,2020-01-01T00:03:16.000Z
7,1429868,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2C,0611,2020-01-01T00:06:02.000Z
8,1429872,2699,8,FRAUD,587C PC EVADE PAYMENT RAILFARE,3,3A,0765,2020-01-01T00:13:01.000Z
9,1429874,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3M,0744,2020-01-01T00:00:33.000Z
10,1429881,7000,83,RELEASE,849(B)(1) CERTIFICATE OF RELEA,4,4A,1203,2020-01-01T00:00:32.000Z
11,1429889,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3B,0748,2020-01-01T00:01:15.000Z
12,1429894,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0748,2020-01-01T00:01:30.000Z
13,1429896,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0725,2020-01-01T00:10:40.000Z
14,1429900,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,4,4A,0965,2020-01-01T00:14:30.000Z
15,1429902,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,4,4A,0965,2020-01-01T00:14:10.000Z
16,1429903,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,0745,2020-01-01T00:01:00.000Z
17,1429906,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,4,4A,0965,2020-01-01T00:12:10.000Z
18,1429912,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,1,1B,0435,2020-01-01T00:14:26.000Z
19,1429913,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,1,1C,0426,2020-01-01T00:10:36.000Z
20,1429918,0999,1,HOMICIDE,187(A) HOMICIDE,2,2B,0563,2020-01-01T00:14:54.000Z
21,1429920,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2B,0552,2020-01-01T00:00:20.000Z
22,1429936,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5C,1654,2020-01-01T00:17:00.000Z
23,1429939,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0782,2020-01-01T00:21:30.000Z
24,1429957,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5C,1654,2020-01-01T00:16:47.000Z
25,1429958,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4A,0903,2020-01-02T00:00:08.000Z
26,1429959,2501,01,FORGERY,476 PC PASS FICTICIOUS CHECK,6,6A,1071,2020-01-01T00:19:34.000Z
27,1429961,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,2,2A,0505,2020-01-01T00:01:00.000Z
28,1429962,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6A,1061,2020-01-02T00:11:00.000Z
29,1429968,2605,13,THEFT,484G PC THEFT BY CREDIT CARD,4,4A,0908,2020-01-01T00:17:30.000Z
